zip,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
01002,-0.000846980188651137,-0.0010542256913044987,0.09544304291380307,0.06375612336416286,0.02443296411747578,0.09631800315791399,0.10556731659094423,0.028658471729428085,-0.025779548880609834,-0.11281740342400795,0.007500598481429248,0.025711936820908842,-0.15444814014287966,-0.026082766403310517,0.011598011105461596,-0.003996272424228529,-0.020366462559862325,0.12513157275141348,-0.007746362097203134,0.09714664029444559,-0.03250367238229112,0.032701225383791874,-0.03477412807413651,-0.06428703935701661,-0.07664057419428254,-0.05405314954163805,-0.2549241405949156,-0.15568193805365216,-0.0784648664722077,-0.013260735194598514,-0.13757395937948808,-0.08112925769712329,-0.09043998396396055,0.05453078672975913,0.08439150953027795,0.004666077486712843,-0.02583433341474308,-0.007483667162495003,0.07881661256345249,0.17044834138318626,-0.00042635166631645183,0.18200922484397059,0.19081076718543596,0.2105218310093143,0.1337062834386064
01003,-0.0120096554947804,0.07681563115425719,0.12520325033235571,0.13672126849506192,0.11231514926368945,-0.01701339944913465,-0.048633888062372566,-0.04671382635674667,-0.002829207163367105,-0.15217202171645497,-0.05464831894940777,-0.030124767254372083,-0.0449789503559812,-0.1326517867166124,-0.14422127184750452,-0.1498714035360289,-0.1884045815227054,-0.009587549581081461,-0.20401530295756948,-0.20602890368761148,-0.2510415405308413,-0.15852833243940484,-0.21032188320766887,-0.2608798714008185,-0.5063209190913535,-0.3611256888875968,-0.3557987157523491,-0.4076370461547064,-0.3587036965799828,-0.24308675078143605,-0.4461939511980334,-0.4082791186632348,-0.3224864005134547,-0.34419739877097966,-0.21339992617372255,-0.3351107556940427,-0.38433254808733336,-0.3941032111157961,-0.4019511171165324,-0.4106509544995228,-0.25973120177111936,-0.2781690595507147,-0.22585102096216267,-0.36397517753262437,-0.16811852816448644
01006,-0.007273652597926212,0.1821432549530945,1.7044105541087068e-05,0.10681661351873954,-0.08977896449246411,0.08652151505472074,-0.1320840653766299,-0.1627634721535561,-0.2250650366415039,-0.19623607159810413,-0.14223886314243162,-0.17235461925706358,-0.2120555939110812,-0.3166950194069535,-0.18675905896372172,-0.3198089233152003,-0.355252805109181,-0.2490517523625204,-0.4616994969700823,-0.3059197121508882,-0.5973052810663873,-0.44781286455141045,-0.4927942283428388,-0.5064605335941251,-0.5673819581118644,-0.7077384554678943,-0.4509874884889129,-0.6013684620254776,-0.6014888821780411,-0.5952005599786157,-0.6173796480386117,-0.6031791076407754,-0.6897879210072607,-0.7750182249013462,-0.761055748951452,-0.7522020005466514,-0.8166153866513356,-0.6461898510559033,-0.830542329110689,-0.7721094217942356,-0.7661106229098906,-0.7404643653669853,-0.654199603291756,-0.6486559046600108,-0.7221063577209743
0100x,0.061447056204551785,0.09850220686265336,0.0631053073766214,-0.13144432256118493,0.10649109646058309,0.014900911009609195,0.004932687176587045,0.005326064023764274,-0.05990738602379471,-0.06432670365261793,-0.11023534141601474,-0.24015296896233645,-0.11641787128541731,-0.1777903502576268,-0.0668445820727837,-0.1531348718397956,-0.1513666325585414,-0.2492740048114666,-0.20253165332572878,-0.2295057515288547,-0.3758983910616299,-0.29741742618094763,-0.3302986344715674,-0.42085013233911717,-0.5449717874353507,-0.39667008407991333,-0.4114741332517457,-0.43891326400307307,-0.4253284519601312,-0.2851900623686016,-0.41753442579484756,-0.36087647838691916,-0.4935392959824866,-0.2602177661753201,-0.3045265112221779,-0.3264575157542103,-0.3960543008810987,-0.33746988914041953,-0.36145500669523156,-0.35119263316004884,-0.3796086192346925,-0.5004863484949942,-0.280875007197337,-0.4733783505480975,-0.3438839245841116
01010,-0.05050296897164536,-0.05521616905115844,0.06325273448900748,0.007077421643098934,-0.05069694493487595,0.01723965412602768,-0.05086893117109206,0.01332651591687873,0.0026138049946640013,-0.11850709610142172,-0.18612891101475781,-0.1712485332532595,-0.026497893837456585,-0.09624294645121548,-0.13468055750337338,-0.007855570253688257,-0.20329616217770097,-0.18928708011547862,-0.19985256901368886,-0.17536739509553723,-0.2882689669508609,-0.2968834827033758,-0.40535828346146974,-0.2746222176604637,-0.324352301689806,-0.41228162743149216,-0.27823449348839047,-0.46193248637035106,-0.44561797649777835,-0.29783005168150556,-0.3782209949400967,-0.22671276792773415,-0.438547462805652,-0.27648778231517485,-0.37645802087635905,-0.3412994285849642,-0.35840763814922905,-0.39705236223876156,-0.47257066506147144,-0.19130156674466992,-0.35472681876944795,-0.4737609051150129,-0.4105147444546644,-0.286232402210969,-0.37778948152866887
01012,0.08080957726095622,0.12171403719008858,-0.0021719050825049976,-0.06145470368976665,-0.11851971148977948,-0.06294732306791039,-0.10045717668820073,-0.030272782397994143,0.020442599196472566,-0.19817772600862163,-0.28668188743102785,-0.2790817285424151,-0.255245687134222,-0.37328502078054965,-0.29995637295507777,-0.05342356395436049,-0.25633592855744775,-0.18254932186092804,-0.34631740669775307,-0.21835552913819598,-0.3072336105333454,-0.3886497653909368,-0.13881135011655577,-0.45550402031294407,-0.5043364525244021,-0.3984003838249965,-0.506461152752727,-0.49162648135569953,-0.553714618169374,-0.491391464758554,-0.48162613757932193,-0.6114087950920519,-0.5875905775014862,-0.5970438112805792,-0.4170820764381655,-0.5423589086699158,-0.6130673113860265,-0.6688158198890882,-0.5245219819008249,-0.5591868434610858,-0.5093178069837745,-0.576026560314809,-0.5996077342129732,-0.622605258152815,-0.6077228523399558
01015,0.1969130197804549,0.06915253827649229,-0.04975524084291891,-0.08244088257063788,-0.08169412863740777,-0.018934314471837046,-0.06714719734681791,-0.1361584821249585,-0.2157253359462665,-0.028061174611004783,-0.10359968398277185,-0.18014784327204364,-0.19998239893421305,-0.20915974715644126,-0.4542219004179687,-0.20009663080677664,-0.2936691719750035,-0.3659607110951614,-0.3308831466500097,-0.25859902490325126,-0.4294020352478586,-0.47370447732081483,-0.3799345798707738,-0.4023077779148395,-0.43855381296928575,-0.4763108241379157,-0.489917446593263,-0.4906113428477347,-0.596473219571479,-0.519929242242108,-0.497551000644086,-0.5272920481011731,-0.6417401480238343,-0.8252276866610367,-0.5133843559829828,-0.585471659528518,-0.6000041414533269,-0.5303170478887028,-0.5882026739256382,-0.5624566299205447,-0.6437988052423996,-0.6080150300528079,-0.569307176111357,-0.647831489583185,-0.5419056384257503
0101x,0.036209462975170595,-0.18837375429031056,0.0806472375561429,-0.06796137451256372,0.043741447185553235,-0.0021851741471546893,-0.03978293168892972,-0.18549531110610473,-0.09247396160280735,-0.13641154192898744,-0.19247218196065136,-0.09516421599776544,-0.14670939912585443,-0.15907377206608683,-0.15413367182582327,-0.14136464310798386,-0.36956740991511006,-0.10216381747351228,-0.4087127154697493,-0.29790534548583963,-0.4023908935207312,-0.3788597694769438,-0.6573595397250256,-0.3801113787317103,-0.7702817479843413,-0.6525257586467164,-0.47537482526047464,-0.4925598881582395,-0.5954704542850073,-0.6559691188260324,-0.6210812115385217,-0.6869642598163177,-0.6576021079144655,-0.44488659127551333,-0.502160059374868,-0.6627997704778518,-0.4696126921050877,-0.651864880403498,-0.496461120597635,-0.5135851028966104,-0.548963672610704,-0.671525561341625,-0.605806594156154,-0.557604607432498,-0.563412230000785
0113x,-0.07665296785327581,0.23547503959467278,0.004846250599488537,-0.00905272761983177,-0.2426236166463801,-0.00611761430374716,-0.029589896850475604,0.0020265012936607207,-0.14094363932823015,-0.023175289845730834,-0.07654063406893886,-0.17282209826410125,-0.31905880356753014,-0.060764057900093246,-0.19502588788324737,-0.04692087184627741,-0.1311119519593495,-0.11634297641802352,-0.19505152606955728,-0.14162274068595992,-0.2600583141859319,-0.6659425927213727,-0.49587996788356303,-0.3577227638865904,-0.5254413756149817,-0.43684850450734786,-0.6054364286005072,-0.466656363652048,-0.7048236070417194,-0.587576016335583,-0.5976943338281372,-0.507108214943157,-0.4208338064109021,-0.6133383766317195,-0.40961510903190396,-0.5277478179774119,-0.5232349766621791,-0.4827244323423884,-0.5965887371546122,-0.5046896724612177,-0.6230457643098951,-0.5171283729969336,-0.7268017697185696,-0.4270749964661801,-0.7201970722328191
0119x,0.005568520516445068,-0.07300448237827636,0.05099663372161823,0.05127151559108405,-0.02161799778419514,-0.050903671327329494,-0.04605044265813814,-0.13523729638627202,-0.24886024783697264,-0.1686765767545952,-0.23855615047674017,-0.14784748064835246,-0.08517728856127474,-0.21254937497397322,-0.18430453701561006,-0.2942091488555506,-0.16830990160548792,-0.18034897536123962,-0.35978990378030806,-0.2500500294807843,-0.9266271662570714,-0.4039449413946985,-0.38599871484977155,-0.44601398290790756,-0.7212114273139962,-0.4633841570043121,-0.5769926123680924,-0.513305228051162,-0.5708655041020325,-0.5918471522804762,-0.5608564224259347,-0.8021146729524237,-0.5508597540291211,-0.567400405379086,-0.655685388170058,-0.5556547863098513,-0.4265711308876874,-0.5278542938266558,-0.3767986561442155,-0.49851715384363515,-0.43340702435113126,-0.5692994770316971,-0.6410801489758622,-0.4406869396670343,-0.37750957763607507
